
Ten sach     				   			     ||Tac gia				     ||So luoc noi dung
Frankenstein                                                          Mary Shelley                            The summer of 1816 was a washout. After the cataclysmic April 1815 eruption of Mount Tambora on the island of Sumbawa, part of what is now Indonesia, the world's weather turned cold, wet and miserable. In a holiday villa on the shores of Lake Geneva, a young English poet and his lover, the guests of another poet, discouraged from outdoor pursuits, sat discussing the hideousness of nature and speculating about the fashionable subject of "galvanism". Was it possible to reanimate a corpse? The villa was Byron's. The other poet was Shelley. His future wife, 19-year-old Mary Shelley (nee Godwin), who had recently lost a premature baby, was in distress. When Byron, inspired by some fireside readings of supernatural tales, suggested that each member of the party should write a ghost story to pass the time.
Nightmare Abbey                                                       Thomas Love Peacock                     Nightmare Abbey, like Frankenstein (no 8 in this series), appeared in 1818. Strangely, it was also inspired by Shelley, who was friends with Peacock. His satire, however, was lighthearted and whimsical and a kind of in-joke. There's no way of knowing if Peacock had actually read Mary Shelley's novel, but Nightmare Abbey makes a nice counterpoint, and speaks of the importance of a new audience. The regency was a turning point for English fiction. It was not only that the prince regent was a man of culture who adored the works of Jane Austen, there was also a wholly new market for novels: middle-class readers with money, enthusiasm and taste. Now they were known, talked about and sometimes even well-paid. In the beginning, the review process had been patchy and vulnerable to actual violence. Now there were some influential magazines in play.
The Black Sheep                                                       Honore De Balzac                        One morning this summer, I got up at first light – I'd left the blinds open the night before – then drank a strong cup of coffee, sat near-naked by an open window for an hour, worked all morning, then had a martini with lunch. I took a long afternoon walk, and for the rest of the week experimented with never working for more than three hours at a stretch. This was all in an effort to adopt the rituals of some great artists and thinkers: the rising-at-dawn bit came from Ernest Hemingway, who was up at around 5.30am, even if he'd been drinking the night before; the strong coffee was borrowed from Beethoven, who personally counted out the 60 beans his morning cup required. Benjamin Franklin swore by "air baths", which was his term for sitting around naked in the morning, whatever the weather. And the midday cocktail was a favourite of VS Pritchett (among many others).
The Charterhouse of Parma                                             Stendhal                                Penetrating and compelling chronicle of life in an Italian court in post-Napoleonic France. 
The Count of Monte Cristo                                             Alexandre Dumas                         The Count of Monte Cristo is a wonderful tale of one man's revenge against three friends who falsely accused him of helping Napoleon topple Louis XVIII. Having spent 14 years rotting away in prison as a result of their lies, he escapes with the complicity of a rich abbot and reinvents himself as a powerful, dangerous and seductive count for whom revenge is all that matters. The novel possesses all the elements of the best epic adventures: a chilling intrigue, a tragic love story, and numerous power struggles. Above all, the poetic ending is the best conclusion to a book you'll ever read. Given the countless Hollywood adaptations of the adventures of D'Artagnan, Athos, Portos and Aramis, you probably know the plot of the Musketeers already. Set in 17th century France, D'Artagnan dreams of joining the prestigious company of the Musketeers to serve his king.
Sybil                                                                 Benjamin Disraeli                       For more than a decade after the death of Jane Austen in 1817, the English novel was rather in the doldrums, a reflection of the times. English literary culture was making the transition from the high camp of the Regency to the hard grind of early Victorian society. A brilliant new generation would burst on the scene in the late 30s and early 40s. For the moment, the leading novelists of the age were Sir Walter Scott and his protege, "the great Maria", Maria Edgeworth, the Irish-born author of Castle Rackrent and Leonora. Rightly or wrongly, I am choosing to pass over these names for the list on the grounds that I do not know enough about their work to make a good judgment. Meanwhile, the British readership was avid. There was, more than ever, a booming market for new fiction. The novel had become the medium in which ambitious young writers could make a splash. 
David Copperfield                                                     Charles Dickens                         David Copperfield was the first book Sigmund Freud gave his fiancee, Martha Bernays, on their engagement in 1882. It was the gift of a lifelong Anglophile to his beloved, a book encrypted with peculiar meaning to a man with a special fascination for the complicated relation of autobiography to storytelling. Freud's choice – and Dickens's own opinion that David Copperfield was "of all my books" the one he liked "the best" – helps clarify an impossible selection midway through the 19th century. At the outset, I'm going to anticipate your howls of rage. Some Dickens aficionados will be dismayed. Why not Pickwick Papers? Or, better still, Great Expectations? Or Bleak House? Or Little Dorrit? And why not, here in the holiday season, that festive evergreen A Christmas Carol? Or the granite brilliance of Hard Times? Yes, in different ways, all masterpieces. Everyone has their favourite. This is mine.
Wuthering Heights                                                     Emily Bronte                            The above image of Emily Bronte – endlessly reproduced – is less a portrait, more an icon. Intense, fierce, inward, solitary, elusive and unknowable: the young author of Wuthering Heights in profile is of a piece with her first, and only, novel. Her elder sister's work – Jane Eyre (no 12 in this series) – hypnotises the reader through the calculated force of its tone, its "suspended revelations", and its hints of suppressed eroticism. It builds, slowly, to a poignant climax in which, finally, its protagonists are redeemed, though not in a way that's conventional. Wuthering Heights, by contrast, plunges impetuously into a wild and passionate exploration of love in all its destructive manifestations. Brontë's narrative – fragmented, discordant and tortuous – revolves obsessively around a single, explosive transgression, and the theme of jealousy in the lives of Heathcliff and Catherine.
Jane Eyre                                                             Charlotte Bronte                        "There was no possibility of taking a walk that day." From its haunting first line to its famous closer, "Reader, I married him", Charlotte Bronte takes her audience by the throat with a fierce narrative of great immediacy. Jane Eyre's voice on the page is almost hypnotic. The reader can hardly resist turning the next page, and the next… In an extraordinary breakthrough for the English novel, borrowing the intimacy of the 18th-century epistolary tradition, Charlotte Brontë had found a way to mesmerise the reader through an intensely private communion with her audience. We, the author, and Jane Eyre become one. For this, she can be claimed as the forerunner of the novel of interior consciousness. Add to this a prose style of unvarnished simplicity and you have the Victorian novel that cast a spell over its generation.Even today, many readers will never forget the moment they first entered the strange.
Vanity Fair                                                           William Makepeace Thackeray             Vanity Fair jumps out of this list as a great Victorian novel, written and published deep in the middle of a great age of English fiction. Indeed, so commanding was Thackeray at the height of his powers (some say he never wrote as well, or as sharply, again) that Charlotte Brontë even dedicated Jane Eyre (no 12 in this list) to the author of Vanity Fair. One hundred years after the publication of Clarissa (no 4 in this series), Thackeray not only revels in the possibilities of the genre, he even illustrated his own work with some decidedly inferior woodcuts. Vanity Fair was published in serial form (including some memorable cliff-hangers, for instance Becky Sharp's revelation of her marriage to Rawdon Crawley) from January 1847 to June 1848. Thackeray, on top form, cheerfully exploited an ebullient tradition, transcending all his previous efforts as a writer.
Moby-Dick                                                             Herman Melville                         On 5 August 1850 a party of writers and publishers climbed Monument Mountain in Massachusetts, during the American equivalent of a hike in the Lakes. Among the literati on this excursion were Nathaniel Hawthorne, 46, author of The Scarlet Letter (No 16 in this series), a recently published bestseller (although a term not yet in use), and the young novelist Herman Melville, who, after a very successful debut (Typee), was struggling to complete an unwieldy coming-of-age tale about a South Seas whaler. Melville, who was just 31, had never met Hawthorne. But after a day in the open air, a quantity of champagne, and a sudden downpour, the younger man was enraptured with his new friend, who had "dropped germinous seeds into my soul". Rarely in Anglo-American literature has there been such a momentous meeting. It was the attraction of opposites. 
Madame Bovary                                                         Gustave Flaubert                        A hundred and fifty years ago tomorrow, on October 1 1856, the first episode of Madame Bovary appeared in the Revue de Paris. The serialisation was a benign act of nepotism by one of the magazine's editors, Maxime Du Camp, towards an old friend of his from student days, Gustave Flaubert. This debut came at the late age of 35: Flaubert had put himself through a long and silent apprenticeship, working out his youthful romanticism, discovering a harder and more objective way of writing, and discarding - or at least, refusing to publish - almost everything he wrote. When his collected juvenilia finally appeared in 2001 (Oeuvres de Jeunesse, Pléiade edition), they were seen to take up almost as many pages as the subsequent novels of his maturity. Flaubert had always been wary of publication, and said that when it came to finally displaying himself, he would only do so "in full armour".
The Woman in White                                                    Wilkie Collins                          One hundred and fifty years ago this week, Victorian readers opened Dickens's weekly magazine All the Year Round to find the concluding instalment of A Tale of Two Cities, and, immediately following it, the opening instalment of a new novel with no author ascribed. They joined a new protagonist, "Walter Hartright, by name," on a night-time walk over Hampstead Heath, winding on moonlit paths until they reached the intersection of the Hampstead, Finchley, West End, and London roads – somewhere in the area of where the Finchley Road tube station now stands. There they were stopped, every drop of blood in their bodies frozen still by "the touch of a hand laid lightly and suddenly" upon Walter's shoulder. And there, for the first time, they met the mysterious Anne Catherick –better known as The Woman in White.
Alice's Adventures In Wonderland                                      Lewis Carroll                           On 4 July 1862, a shy young Oxford mathematics don with a taste for puzzles and whimsy named Charles Dodgson rowed the three daughters of Henry Liddell, dean of Christ Church, five miles up the Thames to Godstow. On the way, to entertain his passengers, who included a 10-year-old named Alice, with whom he was strangely infatuated, Dodgson began to improvise the "Adventures Under Ground" of a bored young girl, also named Alice. Wordplay, logical conundrums, parody and riddles: Dodgson surpassed himself, and the girls were enchanted by the nonsense dreamworld he conjured up. The weather for this trip was reportedly "overcast", but those on board would remember it as "a golden afternoon". This well-known story marks the beginning of perhaps the greatest, possibly most influential, and certainly the most world-famous Victorian English fiction.
Little Women                                                          Louisa M. Alcott                        Little Women is probably unique in this series: it was conceived, and commissioned, by a publisher. An instant bestseller, and a coming-of-age classic, it continues to appear in polls of Anglo-American reading, and remains among the most widely read novels of all time. Born in 1832, Louisa Alcott had grown up as the second of four daughters to a well-known Boston educationist with a penchant for reading aloud to his family from The Pilgrim's Progress. As a girl, Louisa was always "scribbling", selling her juvenile efforts to a range of publications aimed at the market for young women. By her mid-30s, Alcott had published books for children, a first novel entitled Moods, and some journalism about her experiences as a nurse in the American civil war (Hospital Sketches). Pseudonymously, she had also written several romances and adventure stories for a variety of "penny-dreadful" publications.
The Way We Live Now                                                   Anthony Trollope                        Anthony Trollope is the epitome of the 19th-century English writer, indefatigable, popular and tightly wired-in to his society, a monument of productivity. In the course of his 67 years, Trollope published more than 40 novels including two series (the Barchester Chronicles and the Pallisers) that anchored him in the public mind as the model of the Victorian literary man. His peers were less complimentary. To Henry James, he was "a novelist who hunted the fox". After the disastrous publication of his An Autobiography, his reputation became damaged by his ruthless attitude towards his art (so many words per day; his characters clinically subordinated to the needs of his narrative, and so on). Trollope's facility was held against him, and so was his popularity with a middle-class reading public. However, if there is one Trollope novel, written in a white heat during 1873.
Anna Karenina                                                         Leo Tolstoy                             What is it about Anna Karenina that gives it special status among the great novels? How is it that a sensational romantic tragedy of tsarist high society, interspersed with digressions into 19th-century Russian agricultural policy, written in a seemingly plain, straightforward style across 900 pages, still provokes both excitement and respect from readers as diverse as JM Coetzee, Jonathan Franzen and Oprah Winfrey, and lures Tom Stoppard to write the script for the latest of a dozen film adaptations? The book floats in some charmed section of the lake of literary opinion where the ripples from modernism and the ripples from Hollywood overlap without merging. It is more admired than learned from. Anna Karenina couldn't be less like a conventional modern novel. Instead of a barrage of metaphors describing things in terms of other things that they resemble.
Daniel Deronda                                                        George Eliot                            It is not necessary to resort to the invidious expedient of comparisons in order to account for the interest the announcement of a new novel by "George Eliot" has excited. Rumour, which never shrinks from busying itself with the "intentions" even of those authors who are least inclined to feel its appetite, had persistently asserted that it would be long before Middlemarch would be followed by another work of prose fiction. Whatever other work "George Eliot" may have been, or may have engaged upon, the vein to which we owe Middlemarch and Romola is not yet exhausted; and while any attempt at criticism would be out of place so long as only an instalment of Daniel Deronda is in our hands, one observation may be made with absolute safety with regard to it. The self-contained strength of matured powers is impressed upon this book.
The Brothers Karamazov                                                Fyodor Dostoevsky                       Dostoevsky's last, longest and possibly greatest novel has been known for nearly 130 years in English as The Brothers Karamazov. Sadly, this is wrong. It should be called The Karamazov Brothers. At least, so argues Ignat Avsey in his translator's note for the Oxford University Press edition of the book. "Had past translators been expressing themselves freely in natural English, without being hamstrung by the original Russian word order," he writes, "they would no more have dreamt of saying The Brothers Karamazov than they would The Brothers Warner or The Brothers Marx." He is doubtless right, but I still kind of like the very wrongness of the earlier title. The Karamazov Brothers sounds like a firm of surly plasterers; the Brothers Karamazov sound like a madcap trapeze act - which, as I (mis)read Dostoevsky, is what Ivan, Dmitri and Alexei were.
The Portrait of a Lady                                                Henry James                             Reading The Portrait of a Lady was a highlight of my late adolescence. Of James's oeuvre, I had previously read only Washington Square, with its contained canvas and early-dashed hopes, and so was unprepared for the grandeur and romance of Isabel Archer's young life, for her sweeping march out into the world and its liberties, for her conquering of Britain, Europe and beyond; and hence, too, I was unready for the tragedy that her life becomes, for the thoroughness and viciousness of her entrapment. The evil of Madame Merle and Gilbert Osmond took my breath away; as, too, did Isabel's purity and nobility, her clarity of purpose and spirit. Rather like good detergent, James's novel made life's whites whiter, its colours brighter; and the novel's blighting darkness proved as forceful, as unquestionable, as the magic of wizards. James would doubtless have been gratified by such a clear reading.
Huckleberry Finn                                                      Mark Twain                              Mark Twain began his masterpiece, he said, as "a kind of companion to Tom Sawyer". Drafted in the 1870s, the first chapters of the new book continued the old mood with the sharp ironic humour of its famous opening line: "You don't know about me, without you have read a book… made by Mr Mark Twain, and he told the truth, mainly." But when, after a troubled hiatus, he returned to complete the manuscript in 1883, what had begun as a reminiscent celebration became a darker elegy for a lost world. His alter ego, Sam Clemens, was appalled by the trend of American life in the fading century. For Mark Twain, the surest bulwark against the sterilising tide of progress became his pen. With Huck Finn, he could recall life on America's great river as a permanent thing, a place of menacing sunsets, starlit nights and strange dawns, of the confessions of dying men, hints of buried treasure, murderous family feuds.
The Strange Case of Dr Jekyll and Mr Hyde                             Robert Louis Stevenson                  The notion of a "Jekyll-and-Hyde" character has become a lazy way of describing someone when they do something contrary to their normal nature. But that's not quite what Dr Henry Jekyll does. Rather, he consciously searches for a chemical that will allow him to separate out the two sides to his nature. He is fascinated by the duality of man and wants to explore his darker side. Resolute and determined, eventually he succeeds. But his evil self becomes stronger over time, until it threatens to extinguish Jekyll altogether. The doctor has played with fire and he's burning from the inside. Sadly, we'll never know the thrill experienced by this explosive book's original audience. Dr Jekyll and Mr Hyde is a work of suspense, but we all know the twist these days, don't we? So why do we still read the story? Well, it's written with great economy, tension and wit. 
Three Men in a Boat                                                   Jerome K. Jerome                        An ancient river. The journey upstream of some impressionable young men into a mysterious, challenging interior. An inevitable reckoning at the source. Finally, the terrible return to reality. Here, surely, is pre-Edwardian English fiction at its classic finest. But this is not Heart of Darkness, and the river is not the Congo. Actually, it's the Thames, and the narrator is not Marlow but J, or Jerome, K Jerome. Published in 1889, 10 years before Conrad's novel, Three Men in a Boat (To Say Nothing of the Dog), is one of the comic gems in the English language. An accidental one, too. "I did not intend to write a funny book, at first," said its author. Humour in literature is often not taken as seriously as it deserves. Nevertheless, there are a few seriously funny books that remain great for all time. Three Men in a Boat is one of these. 
The Picture of Dorian Gray                                            Oscar Wilde                             The Picture of Dorian Gray, Oscar Wilde's eerie fable of the decadent young man whose portrait ages while he retains his youth, has inspired many works of fiction and performance, the latest being Matthew Bourne's dance drama, with Dorian updated to a superstar of modern billboard photography, an idol in blue jeans. Dorian Gray was clearly based on a living person, a member of Wilde's literary homosexual circle in the early 1890s when the story was first published. If Wilde's fiction is strange, the real life story of John Gray, Dorian's original, is even more bizarre. A young working-class poet of extraordinary beauty corrupts and is corrupted, in a lightning flash of conscience sees the error of his ways, travels to Rome to study for the priesthood, and ends his days a revered canon of the Roman Catholic church in Edinburgh. As an esoteric tale of sin and retribution, this is Oscar Wilde outdone.
Jude the Obscure                                                      Thomas Hardy                            The publication of Jude the Obscure is both an end and a beginning. In hindsight, it signals the transition to a modern literary sensibility while also painting a picture of a profoundly Victorian rural society. It was another kind of turning-point, too, because Thomas Hardy, shaken by the hostility aroused by the novel dubbed "Jude the Obscene", would never write fiction again. And it was a new beginning because henceforth he would become one of the greatest English poets of the 20th century. When the novel opens, we seem to be in Hardy's Wessex, the world of Far From the Madding Crowd or Tess of the d'Urbervilles. But Jude Fawley, who talks to the crows he is supposed to be scaring away, is a modern English boy, with his eye on Christminster (Oxford). He wants an education. With brilliant economy, Hardy opens up three themes.
The Riddle of the Sands                                               Erskine Childers                        When Charles Carruthers accepts an invitation for a yachting and duck-shooting trip to the Frisian Islands from Arthur Davies, an old chum from his Oxford days, he has no idea their holiday will become a daredevil investigation into a German plot to invade Britain. Out of context, the story of Erskine Childers's The Riddle of the Sands sounds like a bog standard thriller, but that's because so many books are pale echoes of this exceptional novel. Published in 1903, it predicted the threat of war with Germany and was so prescient in its identification of the British coast's defensive weaknesses that it influenced the siting of new naval bases. It is also credited as an inspiration to everyone from John Buchan to Ken Follett. The writing is gripping and it's a marvel that Childers manages to make the minutiae of sailing and navigation so engrossing.
The Call of the Wild                                                  Jack London                             The Call of the Wild, a short adventure novel about a sled dog named Buck (a cross between a St Bernard and a Scotch collie) will be one of the strangest, and most strangely potent, narratives in this series. Its author was a one-off, too. Jack London was a maverick, macho young man, the son of an itinerant astrologer and a spiritualist mother. As a boy, he led a criminal life, specialising in the piracy of oysters in San Francisco Bay. As a writer, he blazed briefly, lived hard and dangerously, and died from drink and drugs aged just 40, having written more than 50 books in 20 years. London is the archetype of the American writer as primeval hero, the forerunner of Hemingway, Dos Passos, Kerouac and possibly Hunter S Thompson. To George Orwell, he was "an adventurer and a man of action as few writers have ever been". 
Nostromo                                                              Joseph Conrad                           Chinua Achebe leans forward to make his point. He raises a gentle finger in the manner of a benevolent schoolmaster. "But you have to understand. Art is more than just good sentences; this is what makes this situation tragic. The man is a capable artist and as such I expect better from him. I mean, what is his point in that book? Art is not intended to put people down. If so, then art would ultimately discredit itself." Achebe does not take his eyes from me, and I stare back at him. The face is familiar and marked with the heavy lines of ageing that one would expect to find on a 72-year-old man's face. But Achebe's lines are graceful whorls which suggest wisdom. He leans back now and looks beyond me and through the window at the snowy landscape. Achebe does not take his eyes from me, and I stare back at him.
The Wind in the Willows                                               Kenneth Grahame                         The Wind in the Willows, known to many readers through theatrical adaptations such as Toad of Toad Hall, belongs to a select group of English classics whose characters (Rat, Mole, Badger and Mr Toad) and their catchphrases ("messing about in boats"; "poop, poop!") require no introduction. Endlessly recycled, in print, cartoon and cinema, the ideas and images of Kenneth Grahame's masterpiece recur in the most unlikely places. Chapter seven, "The Piper at the Gates of Dawn", is also the name of Pink Floyd's first album in 1967. A sentimental British favourite, The Wind in the Willows is a far more interesting book than its popular and often juvenile audience might suggest. First, it is the work of a writer who had known considerable success in the 1890s as a young contemporary of Oscar Wilde, and who was also an admired contributor to the literary quarterly The Yellow Book. 
In Search of Lost Time                                                Marcel Proust                           One good reason to re-read the first volumes of In Search of Lost Time is the new translation by Lydia Davis, blemished only by the irritating academic tic of putting numbers to references reasonably obvious to Proust readers, like Tristan and Isolde (6). Even that is tolerable after a while and finally invisible because of the grip of this fine translation. Yet I found I wanted to challenge a remark Davis makes in her introduction. She describes Odette - subject and object of Swann's love - as "fickle and shallow". I disagree. I assume that she is talking for some Proustians here, or perhaps hundreds of Proustian scholars have already disagreed with Davis. When I first read "Swann In Love", here called "A love of Swann's" (the middle section of The Way by Swann's), I drowned willingly in the declensions of the man's passion.
The Rainbow                                                           D. H. Lawrence                          I first read The Rainbow when I was 19, studying for my literature degree in the 1970s. I have dipped into it occasionally since, taking humming bird sips for inspiration. Until now, and this rereading, my image of the book was arrested in an adolescent's mould; the passages I underlined at the time show this very clearly. They are all to do with social rebellion, pastoral lyricism and sex. Some would see that as a fair summary of the book. They aren't far wrong. But what has astonished me this time round, now I'm in mellower middle age (four years older than Lawrence was when he died), is the iconoclastic modernity of the novel. Somehow, this sense of daring experiment had been smothered in memory by the opening pastoral passages and the basic sensuality of the whole. Or perhaps, at 19, one is not really equipped to judge what is new in a book published some 60 years earlier.
The Good Soldier                                                      Ford Madox Ford                         The Good Soldier is an odd and maybe even unique book. That it is a masterpiece, almost a perfect novel, comes as a repeated surprise even to readers who have read it before. In a dedicatory letter to the second edition written some 10 years after the publication of the novel, Ford depicts himself "taking down one of [his] ten-year-old books [and exclaiming] 'Great Heavens, did I write as well as that then?' ... And I will permit myself to say that I was astounded at the work I must have put into the construction of the book, at the intricate tangle of references and cross-references." Ford wrote other very good novels - his tetralogy Parade's End is moving and innovative - but he called The Good Soldier his "auk's egg" ("having reached the allotted, I had laid my one egg and might as well die"); it does have the quality of saying absolutely everything about both his story and his theme.
The Thirty-Nine Steps                                                 John Buchan                             When 39-year-old John Buchan, recuperating from a duodenal ulcer, turned to writing (in a matter of weeks) a "shocker" or "dime novel" in the first months of the first world war, he was already the admired author of more than 10 works of fiction and spoken of in literary circles as a name to watch. Indeed, Buchan might quite plausibly have become a great Scots novelist following in the footsteps of Walter Scott and RL Stevenson. Instead, with ideal timing, he wrote another kind of classic, The Thirty-Nine Steps, an archetypal English spy thriller. Long before the outbreak of war, the English reading public had become gripped by invasion fever. This was a volatile cocktail of jingoism and xenophobia inspired by the Anglo-German naval arms race and stoked by bestsellers such as The Great War in England in 1897 by William Le Queux and the infinitely greater 1903 classic The Riddle of the Sands.
Ulysses                                                               James Joyce                             1922 is one of those extraordinary years in the history of English literature – the moment when Modernism came of age, and after which nothing would ever be the same again. TS Eliot's The Waste Land appeared, first in magazine and then in volume form towards the end of the year. By then, James Joyce had already seen Ulysses, a text of approximately 265,000 words, privately published in Paris by Sylvia Beach, the philanthropic proprietor of the bookshop Shakespeare & Company, after a tortuous gestation in which his novel had been prosecuted for obscenity, and almost hounded into oblivion. Joyce, however, was creatively obdurate. Earlier, in his autobiographical novel, A Portrait of the Artist as a Young Man, he had made an unforgettable declaration of artistic intent. His answer to the challenge of the 20th century was to declare independence. 
Mrs Dalloway                                                          Virginia Woolf                          In the spring of 1924, Virginia Woolf, then in her 40s, gave a famous lecture, later published as the essay Mr Bennett and Mrs Brown, in which she declared that "we are trembling on the verge of one of the great ages of English literature". She might have been speaking about herself. In the next 15-odd years, before her suicide, Woolf would transform the English literary landscape forever. She would innovate (To the Lighthouse); she would flirt (Orlando); she would provoke (A Room of One's Own) and, privately, would dazzle herself and her friends with a stream of letters (and diaries), all of which reveal a writer's mind at full tilt. Woolf is one of the giants of this series, and Mrs Dalloway, her fourth novel, is one of her greatest achievements, a book whose afterlife continues to inspire new generations of writers and readers. Like Ulysses (no 46 in this series).
A Passage to India                                                    EM Forster                              In 1957, EM Forster, looking back in old age, wrote that the late-empire world of A Passage to India "no longer exists, either politically or socially". Today, approaching 100 years after its composition, the novel is probably as "dated" as ever. Yet – because Forster's concern is the forging of a relationship between a British schoolteacher and a Muslim doctor, reflecting the larger tragedy of imperialism – A Passage to India stands as a strangely timeless achievement, one of the great novels of the 20th century. The part of A Passage to India that most readers remember, of course, is the tortuous romantic drama of the Marabar caves. Thus: when Adela Quested, an English schoolteacher, and her companion Mrs Moore arrive in Chandrapore they enter colonial India, a place obsessed with the promotion of British values and the British way of life.
